年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
9604,臺北國際商業銀行,,0,0,0,0,0,0,0,0,0,1
9604,第七商業銀行,,0,0,0,0,0,0,0,0,0,1
9604,京城商業銀行,,807000000,2634000000,3442000000,699000000,2335000000,3033000000,108000000,299000000,409000000,0
9604,臺灣工業銀行,,726000000,12226000000,12951000000,668000000,7625000000,8293000000,58000000,4601000000,4658000000,0
9604,臺中商業銀行,,1987000000,4018000000,6005000000,1434000000,3395000000,4829000000,553000000,623000000,1176000000,0
9604,中國農民銀行,,0,0,0,0,0,0,0,0,0,0
9604,臺灣中小企業銀行,,27619000000,45914000000,73533000000,18354000000,30991000000,49346000000,9265000000,14923000000,24187000000,0
9604,新竹國際商業銀行,,7178000000,11451000000,18629000000,6418000000,10406000000,16824000000,760000000,1045000000,1805000000,0
9604,台北富邦銀行,,27988000000,76148000000,104136000000,24402000000,66352000000,90753000000,3586000000,9796000000,13383000000,1
9604,中央信託局,,2828000000,13532000000,16359000000,2685000000,13189000000,15873000000,143000000,343000000,486000000,0
9604,花蓮區中小企業銀行,,0,0,0,0,0,0,0,0,0,0
9604,華泰商業銀行,,341000000,841000000,1181000000,327000000,826000000,1153000000,14000000,15000000,28000000,0
9604,安泰商業銀行,,3175000000,8467000000,11642000000,2766000000,7682000000,10449000000,409000000,785000000,1193000000,0
9604,臺灣新光商業銀行,,2398000000,10194000000,12592000000,2051000000,9394000000,11445000000,347000000,800000000,1147000000,1
9604,聯邦商業銀行,,3881000000,17607000000,21488000000,2802000000,10568000000,13370000000,1079000000,7039000000,8118000000,0
9604,遠東國際商業銀行,,6945000000,36775000000,43720000000,5813000000,16188000000,22001000000,1132000000,20587000000,21719000000,0
9604,永豐商業銀行,,54815000000,96819000000,151635000000,27645000000,47107000000,74752000000,27170000000,49712000000,76883000000,1
9604,三信商業銀行,,107000000,773000000,879000000,89000000,757000000,846000000,18000000,16000000,33000000,0
9604,板信商業銀行,,1175000000,3494000000,4668000000,879000000,2531000000,3410000000,296000000,963000000,1258000000,0
9604,臺灣銀行,,30118000000,142328000000,172445000000,21252000000,124752000000,146004000000,8866000000,17576000000,26441000000,0
9604,外國銀行在台分行,,223661000000,301485000000,525147000000,152523000000,165530000000,318053000000,71138000000,135955000000,207094000000,0
9604,第一商業銀行,,55913000000,121752000000,177666000000,38507000000,92873000000,131379000000,17406000000,28879000000,46287000000,1
9604,寶華商業銀行,,1344000000,2819000000,4163000000,1243000000,2543000000,3786000000,101000000,276000000,377000000,0
9604,國泰世華商業銀行,,20163000000,62159000000,82322000000,13916000000,41949000000,55865000000,6247000000,20210000000,26457000000,1
9604,中華商業銀行,,727000000,1637000000,2364000000,681000000,1579000000,2260000000,46000000,58000000,104000000,0
9604,華南商業銀行,,67258000000,138974000000,206231000000,44537000000,96713000000,141250000000,22721000000,42261000000,64981000000,1
9604,交通銀行,,0,0,0,0,0,0,0,0,0,1
9604,中國信託商業銀行,,80865000000,147555000000,228420000000,42834000000,74634000000,117467000000,38031000000,72921000000,110953000000,1
9604,台新國際商業銀行,,29351000000,95021000000,124372000000,19445000000,57985000000,77429000000,9906000000,37036000000,46943000000,1
9604,慶豐商業銀行,,3163000000,4434000000,7597000000,707000000,2345000000,3052000000,2456000000,2089000000,4545000000,0
9604,復華商業銀行,,4838000000,16211000000,21049000000,3849000000,12351000000,16200000000,989000000,3860000000,4849000000,1
9604,臺灣土地銀行,,10322000000,43160000000,53483000000,8829000000,28518000000,37347000000,1493000000,14642000000,16136000000,0
9604,玉山商業銀行,,17492000000,48778000000,66270000000,10787000000,31874000000,42661000000,6705000000,16904000000,23609000000,1
9604,合作金庫商業銀行,,26616000000,93530000000,120146000000,21723000000,80144000000,101867000000,4893000000,13386000000,18279000000,0
9604,中華開發工業銀行,,1500000000,9747000000,11247000000,965000000,172000000,1136000000,535000000,9575000000,10111000000,1
9604,大眾商業銀行,,10149000000,21694000000,31843000000,6979000000,15694000000,22673000000,3170000000,6000000000,9170000000,0
9604,兆豐國際商業銀行,,135357000000,304090000000,439446000000,63447000000,142596000000,206043000000,71910000000,161494000000,233403000000,1
9604,陽信商業銀行,,1204000000,4437000000,5642000000,1087000000,4091000000,5178000000,117000000,346000000,464000000,0
9604,高雄銀行,,2058000000,3895000000,5953000000,1861000000,3489000000,5350000000,197000000,406000000,603000000,0
9604,臺東區中小企業銀行,,0,0,0,0,0,0,0,0,0,0
9604,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,0
9604,華僑商業銀行,,20821000000,29916000000,50737000000,11577000000,14424000000,26000000000,9244000000,15492000000,24737000000,0
9604,萬泰商業銀行,,2123000000,3242000000,5364000000,1497000000,2805000000,4302000000,626000000,437000000,1062000000,0
9604,日盛國際商業銀行,,5115000000,6664000000,11779000000,4359000000,5761000000,10120000000,756000000,903000000,1659000000,1
9604,彰化商業銀行,,46696000000,80035000000,126731000000,28731000000,54224000000,82955000000,17965000000,25811000000,43776000000,0
9604,上海商業儲蓄銀行,,45153000000,76915000000,122068000000,16732000000,31903000000,48635000000,28421000000,45012000000,73433000000,0
