年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
9611,京城商業銀行,,1457000000,2879000000,4336000000,1332000000,2600000000,3932000000,125000000,279000000,404000000,0
9611,臺灣工業銀行,,755000000,12524000000,13279000000,654000000,6107000000,6761000000,101000000,6417000000,6518000000,0
9611,臺中商業銀行,,2321000000,5261000000,7583000000,1639000000,4470000000,6108000000,682000000,791000000,1475000000,0
9611,臺灣中小企業銀行,,29964000000,52678000000,82642000000,20607000000,34494000000,55101000000,9357000000,18184000000,27541000000,0
9611,臺東區中小企業銀行,,0,0,0,0,0,0,0,0,0,0
9611,第七商業銀行,,0,0,0,0,0,0,0,0,0,1
9611,彰化商業銀行,,52319000000,95779000000,148099000000,31367000000,65931000000,97299000000,20952000000,29848000000,50800000000,0
9611,中央信託局,,0,0,0,0,0,0,0,0,0,0
9611,稻江商業銀行,,0,0,0,0,0,0,0,0,0,0
9611,台北富邦銀行,,36726000000,82189000000,118916000000,32883000000,74437000000,107320000000,3843000000,7752000000,11596000000,1
9611,華泰商業銀行,,602000000,1102000000,1704000000,584000000,1090000000,1674000000,18000000,12000000,30000000,0
9611,安泰商業銀行,,3156000000,11532000000,14688000000,2759000000,10868000000,13627000000,397000000,664000000,1061000000,0
9611,臺灣新光商業銀行,,2419000000,16716000000,19135000000,2130000000,15920000000,18050000000,289000000,796000000,1085000000,1
9611,聯邦商業銀行,,4665000000,22768000000,27433000000,3485000000,15467000000,18951000000,1180000000,7301000000,8482000000,0
9611,遠東國際商業銀行,,7383000000,37507000000,44890000000,5270000000,15391000000,20661000000,2113000000,22116000000,24229000000,0
9611,永豐商業銀行,,51142000000,103472000000,154614000000,26063000000,42813000000,68876000000,25079000000,60659000000,85738000000,1
9611,三信商業銀行,,159000000,993000000,1152000000,134000000,955000000,1089000000,25000000,38000000,63000000,0
9611,板信商業銀行,,1506000000,6076000000,7581000000,1312000000,4770000000,6082000000,194000000,1306000000,1499000000,0
9611,元大商業銀行,,6168000000,18620000000,24788000000,4974000000,14302000000,19277000000,1194000000,4318000000,5511000000,1
9611,花蓮區中小企業銀行,,0,0,0,0,0,0,0,0,0,0
9611,臺灣銀行,,43951000000,199697000000,243648000000,35268000000,175263000000,210531000000,8683000000,24434000000,33117000000,0
9611,外國銀行在台分行,,226506000000,297808000000,524314000000,160892000000,147688000000,308581000000,65614000000,150120000000,215733000000,0
9611,第一商業銀行,,60208000000,124052000000,184260000000,43368000000,90764000000,134131000000,16840000000,33288000000,50129000000,1
9611,寶華商業銀行,,1329000000,2452000000,3781000000,1250000000,2248000000,3498000000,79000000,204000000,283000000,0
9611,國泰世華商業銀行,,25075000000,78875000000,103950000000,18294000000,48193000000,66488000000,6781000000,30682000000,37462000000,1
9611,中華商業銀行,,579000000,1794000000,2374000000,467000000,1706000000,2173000000,112000000,88000000,201000000,0
9611,華南商業銀行,,77558000000,125486000000,203044000000,54445000000,81120000000,135565000000,23113000000,44366000000,67479000000,1
9611,中國信託商業銀行,,86232000000,155593000000,241825000000,45443000000,68772000000,114216000000,40789000000,86821000000,127609000000,1
9611,台新國際商業銀行,,31687000000,108262000000,139949000000,22613000000,65356000000,87968000000,9074000000,42906000000,51981000000,1
9611,慶豐商業銀行,,2258000000,3775000000,6033000000,519000000,1821000000,2341000000,1739000000,1954000000,3692000000,0
9611,臺灣土地銀行,,11718000000,50539000000,62257000000,10369000000,36505000000,46874000000,1349000000,14034000000,15383000000,0
9611,玉山商業銀行,,20080000000,54032000000,74112000000,12216000000,28717000000,40933000000,7864000000,25315000000,33179000000,1
9611,合作金庫商業銀行,,29348000000,86641000000,115989000000,23601000000,70018000000,93619000000,5747000000,16623000000,22370000000,0
9611,中華開發工業銀行,,1237000000,16420000000,17658000000,455000000,6080000000,6535000000,782000000,10340000000,11123000000,1
9611,大眾商業銀行,,12398000000,21837000000,34235000000,9158000000,13719000000,22876000000,3240000000,8118000000,11359000000,0
9611,兆豐國際商業銀行,,151684000000,326207000000,477890000000,75216000000,143054000000,218270000000,76468000000,183153000000,259620000000,1
9611,陽信商業銀行,,1207000000,5787000000,6993000000,1084000000,5532000000,6617000000,123000000,255000000,376000000,0
9611,高雄銀行,,2247000000,4230000000,6476000000,1941000000,3521000000,5462000000,306000000,709000000,1014000000,0
9611,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,0
9611,華僑商業銀行,,19339000000,27792000000,47131000000,10880000000,14769000000,25649000000,8459000000,13023000000,21482000000,0
9611,萬泰商業銀行,,1744000000,2416000000,4160000000,1380000000,2374000000,3754000000,364000000,42000000,406000000,0
9611,日盛國際商業銀行,,6701000000,8805000000,15506000000,5987000000,6969000000,12956000000,714000000,1836000000,2550000000,1
9611,上海商業儲蓄銀行,,45941000000,86072000000,132013000000,18559000000,37370000000,55929000000,27382000000,48702000000,76084000000,0
9611,渣打國際商業銀行,,26044000000,20245000000,46289000000,23903000000,17768000000,41671000000,2141000000,2477000000,4618000000,0
