年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
9802,京城商業銀行,,1141000000,3428000000,4569000000,955000000,3116000000,4071000000,186000000,312000000,498000000,0
9802,臺灣工業銀行,,1017000000,10128000000,11145000000,909000000,7719000000,8628000000,108000000,2409000000,2517000000,0
9802,臺灣中小企業銀行,,37613000000,51571000000,89185000000,25158000000,33102000000,58260000000,12455000000,18469000000,30925000000,0
9802,中華商業銀行,,0,0,0,0,0,0,0,0,0,0
9802,台北富邦銀行,,50119000000,110389000000,160508000000,42733000000,90921000000,133654000000,7386000000,19468000000,26854000000,1
9802,華泰商業銀行,,577000000,1150000000,1727000000,555000000,1129000000,1684000000,22000000,21000000,43000000,0
9802,花旗,,17158000000,20680000000,37839000000,9355000000,12400000000,21754000000,7803000000,8280000000,16085000000,0
9802,安泰商業銀行,,4120000000,13561000000,17681000000,3499000000,12204000000,15704000000,621000000,1357000000,1977000000,0
9802,臺灣新光商業銀行,,3313000000,14442000000,17755000000,3035000000,13042000000,16077000000,278000000,1400000000,1678000000,1
9802,聯邦商業銀行,,5357000000,20873000000,26230000000,4015000000,15580000000,19595000000,1342000000,5293000000,6635000000,0
9802,大台北商業銀行,,0,0,0,0,0,0,0,0,0,0
9802,永豐商業銀行,,66077000000,95929000000,162006000000,29105000000,39397000000,68502000000,36972000000,56532000000,93504000000,1
9802,三信商業銀行,,250000000,750000000,999000000,218000000,733000000,951000000,32000000,17000000,48000000,0
9802,板信商業銀行,,1559000000,5082000000,6641000000,1150000000,4182000000,5333000000,409000000,900000000,1308000000,0
9802,元大商業銀行,,7192000000,20784000000,27975000000,5710000000,15056000000,20766000000,1482000000,5728000000,7209000000,1
9802,外國銀行在台分行,,254433000000,376792000000,631225000000,171002000000,227606000000,398609000000,83431000000,149186000000,232616000000,0
9802,第一商業銀行,,103816000000,178763000000,282579000000,60339000000,98279000000,158619000000,43477000000,80484000000,123960000000,1
9802,國泰世華商業銀行,,35039000000,95360000000,130399000000,26466000000,60581000000,87047000000,8573000000,34779000000,43352000000,1
9802,華南商業銀行,,96122000000,134522000000,230644000000,64533000000,84807000000,149339000000,31589000000,49715000000,81305000000,1
9802,中國信託商業銀行,,106413000000,162410000000,268823000000,57329000000,61114000000,118443000000,49084000000,101296000000,150380000000,1
9802,寶華商業銀行,,0,0,0,0,0,0,0,0,0,0
9802,台新國際商業銀行,,41589000000,89792000000,131381000000,29837000000,60621000000,90458000000,11752000000,29171000000,40923000000,1
9802,遠東國際商業銀行,,6922000000,49142000000,56064000000,5065000000,18085000000,23150000000,1857000000,31057000000,32914000000,0
9802,臺灣土地銀行,,18246000000,62184000000,80430000000,16201000000,40844000000,57045000000,2045000000,21340000000,23385000000,0
9802,玉山商業銀行,,32777000000,59931000000,92708000000,21423000000,38563000000,59986000000,11354000000,21368000000,32722000000,1
9802,合作金庫商業銀行,,49218000000,116952000000,166171000000,39624000000,91525000000,131150000000,9594000000,25427000000,35021000000,0
9802,中華開發工業銀行,,1531000000,17318000000,18848000000,753000000,4658000000,5411000000,778000000,12660000000,13437000000,1
9802,台中商業銀行,,3299000000,7510000000,10809000000,2417000000,6169000000,8586000000,882000000,1341000000,2223000000,0
9802,慶豐商業銀行,,1739000000,2309000000,4048000000,394000000,946000000,1340000000,1345000000,1363000000,2708000000,0
9802,兆豐國際商業銀行,,193194000000,418903000000,612097000000,89360000000,202098000000,291458000000,103834000000,216805000000,320639000000,1
9802,彰化商業銀行,,70565000000,119246000000,189811000000,43393000000,69863000000,113256000000,27172000000,49383000000,76555000000,1
9802,陽信商業銀行,,2548000000,5676000000,8224000000,1597000000,5043000000,6640000000,951000000,633000000,1584000000,0
9802,高雄銀行,,2271000000,5970000000,8242000000,1913000000,3990000000,5903000000,358000000,1980000000,2339000000,0
9802,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,0
9802,大眾商業銀行,,13987000000,24817000000,38804000000,7968000000,14093000000,22061000000,6019000000,10724000000,16743000000,0
9802,萬泰商業銀行,,1647000000,1901000000,3548000000,1527000000,1890000000,3417000000,120000000,11000000,131000000,0
9802,日盛國際商業銀行,,6128000000,6582000000,12710000000,5141000000,5579000000,10720000000,987000000,1003000000,1990000000,1
9802,上海商業儲蓄銀行,,58352000000,94734000000,153086000000,20608000000,32304000000,52912000000,37744000000,62430000000,100174000000,0
9802,臺灣銀行,,78332000000,290577000000,368909000000,65695000000,224930000000,290625000000,12637000000,65647000000,78284000000,1
9802,渣打國際商業銀行,,65482000000,45307000000,110789000000,55501000000,36617000000,92118000000,9981000000,8690000000,18671000000,0
