年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
9804,京城商業銀行,,1989000000,3764000000,5753000000,1899000000,3196000000,5095000000,90000000,568000000,658000000,0
9804,臺灣工業銀行,,904000000,9492000000,10396000000,803000000,7586000000,8388000000,101000000,1906000000,2008000000,0
9804,臺灣中小企業銀行,,40600000000,49701000000,90301000000,27918000000,31993000000,59912000000,12682000000,17708000000,30389000000,0
9804,台北富邦銀行,,52381000000,103869000000,156250000000,44228000000,84867000000,129095000000,8153000000,19002000000,27155000000,1
9804,華泰商業銀行,,578000000,1081000000,1659000000,568000000,1062000000,1630000000,10000000,19000000,29000000,0
9804,花旗,,17096000000,22354000000,39449000000,9627000000,11943000000,21570000000,7469000000,10411000000,17879000000,0
9804,安泰商業銀行,,7223000000,12308000000,19531000000,6694000000,10825000000,17519000000,529000000,1483000000,2012000000,0
9804,臺灣新光商業銀行,,3883000000,13755000000,17638000000,3443000000,12257000000,15701000000,440000000,1498000000,1937000000,1
9804,聯邦商業銀行,,5949000000,20418000000,26366000000,4533000000,15318000000,19851000000,1416000000,5100000000,6515000000,0
9804,大台北商業銀行,,0,0,0,0,0,0,0,0,0,0
9804,永豐商業銀行,,65363000000,87086000000,152449000000,30332000000,32889000000,63221000000,35031000000,54197000000,89228000000,1
9804,三信商業銀行,,276000000,676000000,952000000,250000000,660000000,909000000,26000000,16000000,43000000,0
9804,板信商業銀行,,1809000000,4666000000,6475000000,1293000000,3906000000,5199000000,516000000,760000000,1276000000,0
9804,元大商業銀行,,7569000000,16732000000,24302000000,5913000000,11597000000,17511000000,1656000000,5135000000,6791000000,1
9804,外國銀行在台分行,,255137000000,360273000000,615410000000,172542000000,211527000000,384069000000,82595000000,148746000000,231341000000,0
9804,第一商業銀行,,107412000000,170490000000,277902000000,63310000000,93550000000,156860000000,44102000000,76940000000,121042000000,1
9804,國泰世華商業銀行,,38774000000,82417000000,121191000000,30268000000,51660000000,81928000000,8506000000,30757000000,39263000000,1
9804,華南商業銀行,,100638000000,127597000000,228235000000,68232000000,81404000000,149636000000,32406000000,46193000000,78599000000,1
9804,中國信託商業銀行,,116034000000,152951000000,268984000000,63202000000,57844000000,121046000000,52832000000,95107000000,147938000000,1
9804,寶華商業銀行,,0,0,0,0,0,0,0,0,0,0
9804,台新國際商業銀行,,45576000000,81400000000,126977000000,31866000000,55198000000,87065000000,13710000000,26202000000,39912000000,1
9804,遠東國際商業銀行,,7099000000,44758000000,51857000000,5692000000,15111000000,20803000000,1407000000,29647000000,31054000000,0
9804,臺灣土地銀行,,18592000000,49500000000,68092000000,16393000000,32459000000,48851000000,2199000000,17041000000,19241000000,0
9804,玉山商業銀行,,32668000000,57839000000,90507000000,20520000000,38019000000,58539000000,12148000000,19820000000,31968000000,1
9804,合作金庫商業銀行,,52513000000,118157000000,170671000000,42027000000,93703000000,135730000000,10486000000,24454000000,34941000000,0
9804,中華開發工業銀行,,1568000000,13557000000,15124000000,807000000,1465000000,2272000000,761000000,12092000000,12852000000,1
9804,台中商業銀行,,3909000000,7602000000,11510000000,2718000000,6164000000,8882000000,1191000000,1438000000,2628000000,0
9804,慶豐商業銀行,,1827000000,2174000000,4001000000,482000000,877000000,1360000000,1345000000,1297000000,2641000000,0
9804,兆豐國際商業銀行,,210378000000,372796000000,583174000000,102345000000,165075000000,267420000000,108033000000,207721000000,315754000000,1
9804,彰化商業銀行,,71922000000,121437000000,193359000000,48321000000,71637000000,119958000000,23601000000,49800000000,73401000000,1
9804,陽信商業銀行,,2918000000,5095000000,8013000000,1866000000,4525000000,6391000000,1052000000,570000000,1622000000,0
9804,高雄銀行,,2282000000,5546000000,7828000000,1994000000,3858000000,5852000000,288000000,1688000000,1976000000,0
9804,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,0
9804,大眾商業銀行,,13213000000,21929000000,35142000000,8359000000,12957000000,21316000000,4854000000,8972000000,13826000000,0
9804,萬泰商業銀行,,1648000000,1653000000,3301000000,1527000000,1651000000,3178000000,121000000,2000000,123000000,0
9804,日盛國際商業銀行,,5808000000,5566000000,11374000000,4719000000,5110000000,9828000000,1089000000,456000000,1546000000,1
9804,上海商業儲蓄銀行,,62063000000,87500000000,149563000000,22659000000,30419000000,53079000000,39404000000,57081000000,96484000000,0
9804,臺灣銀行,,77117000000,311921000000,389038000000,63771000000,247777000000,311547000000,13346000000,64144000000,77491000000,1
9804,渣打國際商業銀行,,63426000000,39132000000,102558000000,56238000000,29761000000,85998000000,7188000000,9371000000,16560000000,0
